year,inflation_rate
1980,0.125
1981,0.089
1982,0.038
1983,0.038
1984,0.039
1985,0.038
1986,0.011
1987,0.044
1988,0.044
1989,0.046
1990,0.061
1991,0.031
1992,0.029
1993,0.027
1994,0.027
1995,0.025
1996,0.033
1997,0.017
1998,0.016
1999,0.027
2000,0.034
2001,0.016
2002,0.024
2003,0.019
2004,0.033
2005,0.034
2006,0.025
2007,0.041
2008,0.001
2009,0.027
2010,0.015
2011,0.030
2012,0.017
2013,0.015
2014,0.008
2015,0.007
2016,0.021
2017,0.021
2018,0.019
2019,0.023
2020,0.014
2021,0.070
2022,0.065
