Year,Team,Record,Win%
2017-18,Hawks,24-58,0.293
2016-17,Hawks,43-39,0.524
2015-16,Hawks,48-34,0.585
2014-15,Hawks,60-22,0.732
2013-14,Hawks,38-44,0.463
2012-13,Hawks,44-38,0.537
2011-12 *,Hawks,40-26,0.606
2010-11,Hawks,44-38,0.537
2009-10,Hawks,53-29,0.646
2008-09,Hawks,47-35,0.573
2007-08,Hawks,37-45,0.451
2006-07,Hawks,30-52,0.366
2005-06,Hawks,26-56,0.317
2004-05,Hawks,13-69,0.159
2003-04,Hawks,28-54,0.341
2002-03,Hawks,35-47,0.427
2001-02,Hawks,33-49,0.402
2000-01,Hawks,25-57,0.305
1999-00,Hawks,28-54,0.341
1998-99 *,Hawks,31-19,0.62
1997-98,Hawks,50-32,0.61
1996-97,Hawks,56-26,0.683
1995-96,Hawks,46-36,0.561
1994-95,Hawks,42-40,0.512
1993-94,Hawks,57-25,0.695
1992-93,Hawks,43-39,0.524
1991-92,Hawks,38-44,0.463
1990-91,Hawks,43-39,0.524
1989-90,Hawks,41-41,0.5
1988-89,Hawks,52-30,0.634
1987-88,Hawks,50-32,0.61
1986-87,Hawks,57-25,0.695
1985-86,Hawks,50-32,0.61
1984-85,Hawks,34-48,0.415
1983-84,Hawks,40-42,0.488
1982-83,Hawks,43-39,0.524
1981-82,Hawks,42-40,0.512
1980-81,Hawks,31-51,0.378
2017-18,Celtics,55-27,0.671
2016-17,Celtics,53-29,0.646
2015-16,Celtics,48-34,0.585
2014-15,Celtics,40-42,0.488
2013-14,Celtics,25-57,0.305
2012-13,Celtics,41-40,0.506
2011-12 *,Celtics,39-27,0.591
2010-11,Celtics,56-26,0.683
2009-10,Celtics,50-32,0.61
2008-09,Celtics,62-20,0.756
2007-08,Celtics,66-16,0.805
2006-07,Celtics,24-58,0.293
2005-06,Celtics,33-49,0.402
2004-05,Celtics,45-37,0.549
2003-04,Celtics,36-46,0.439
2002-03,Celtics,44-38,0.537
2001-02,Celtics,49-33,0.598
2000-01,Celtics,36-46,0.439
1999-00,Celtics,35-47,0.427
1998-99 *,Celtics,19-31,0.38
1997-98,Celtics,36-46,0.439
1996-97,Celtics,15-67,0.183
1995-96,Celtics,33-49,0.402
1994-95,Celtics,35-47,0.427
1993-94,Celtics,32-50,0.39
1992-93,Celtics,48-34,0.585
1991-92,Celtics,51-31,0.622
1990-91,Celtics,56-26,0.683
1989-90,Celtics,52-30,0.634
1988-89,Celtics,42-40,0.512
1987-88,Celtics,57-25,0.695
1986-87,Celtics,59-23,0.72
1985-86,Celtics,67-15,0.817
1984-85,Celtics,63-19,0.768
1983-84,Celtics,62-20,0.756
1982-83,Celtics,56-26,0.683
1981-82,Celtics,63-19,0.768
1980-81,Celtics,62-20,0.756
2017-18,Nets,28-54,0.341
2016-17,Nets,20-62,0.244
2015-16,Nets,21-61,0.256
2014-15,Nets,38-44,0.463
2013-14,Nets,44-38,0.537
2012-13,Nets,49-33,0.598
2011-12 *,Nets,22-44,0.333
2010-11,Nets,24-58,0.293
2009-10,Nets,12-70,0.146
2008-09,Nets,34-48,0.415
2007-08,Nets,34-48,0.415
2006-07,Nets,41-41,0.5
2005-06,Nets,49-33,0.598
2004-05,Nets,42-40,0.512
2003-04,Nets,47-35,0.573
2002-03,Nets,49-33,0.598
2001-02,Nets,52-30,0.634
2000-01,Nets,26-56,0.317
1999-00,Nets,31-51,0.378
1998-99 *,Nets,16-34,0.32
1997-98,Nets,43-39,0.524
1996-97,Nets,26-56,0.317
1995-96,Nets,30-52,0.366
1994-95,Nets,30-52,0.366
1993-94,Nets,45-37,0.549
1992-93,Nets,43-39,0.524
1991-92,Nets,40-42,0.488
1990-91,Nets,26-56,0.317
1989-90,Nets,17-65,0.207
1988-89,Nets,26-56,0.317
1987-88,Nets,19-63,0.232
1986-87,Nets,24-58,0.293
1985-86,Nets,39-43,0.476
1984-85,Nets,42-40,0.512
1983-84,Nets,45-37,0.549
1982-83,Nets,49-33,0.598
1981-82,Nets,44-38,0.537
1980-81,Nets,24-58,0.293
2017-18,Hornets,36-46,0.439
2016-17,Hornets,36-46,0.439
2015-16,Hornets,48-34,0.585
2014-15,Hornets,33-49,0.402
2013-14,Bobcats,43-39,0.524
2012-13,Bobcats,21-61,0.256
2011-12 *,Bobcats,7-59,0.106
2010-11,Bobcats,34-48,0.415
2009-10,Bobcats,44-38,0.537
2008-09,Bobcats,35-47,0.427
2007-08,Bobcats,32-50,0.39
2006-07,Bobcats,33-49,0.402
2005-06,Bobcats,26-56,0.317
2004-05,Bobcats,18-64,0.22
2001-02,Hornets,44-38,0.537
2000-01,Hornets,46-36,0.561
1999-00,Hornets,49-33,0.598
1998-99 *,Hornets,26-24,0.52
1997-98,Hornets,51-31,0.622
1996-97,Hornets,54-28,0.659
1995-96,Hornets,41-41,0.5
1994-95,Hornets,50-32,0.61
1993-94,Hornets,41-41,0.5
1992-93,Hornets,44-38,0.537
1991-92,Hornets,31-51,0.378
1990-91,Hornets,26-56,0.317
1989-90,Hornets,19-63,0.232
1988-89,Hornets,20-62,0.244
2017-18,Bulls,27-55,0.329
2016-17,Bulls,41-41,0.5
2015-16,Bulls,42-40,0.512
2014-15,Bulls,50-32,0.61
2013-14,Bulls,48-34,0.585
2012-13,Bulls,45-37,0.549
2011-12 *,Bulls,50-16,0.758
2010-11,Bulls,62-20,0.756
2009-10,Bulls,41-41,0.5
2008-09,Bulls,41-41,0.5
2007-08,Bulls,33-49,0.402
2006-07,Bulls,49-33,0.598
2005-06,Bulls,41-41,0.5
2004-05,Bulls,47-35,0.573
2003-04,Bulls,23-59,0.28
2002-03,Bulls,30-52,0.366
2001-02,Bulls,21-61,0.256
2000-01,Bulls,15-67,0.183
1999-00,Bulls,17-65,0.207
1998-99 *,Bulls,13-37,0.26
1997-98,Bulls,62-20,0.756
1996-97,Bulls,69-13,0.841
